name,doi,ModellingCenter,Project,Experiment,GCM,RCM,Run,resX-atmos,resY-atmos,SoftwareVersion,SimulationDomain
CMIP5_NCC-NORESM1-M_historical,http://dx.doi.org/10.1594/WDCC/CMIP5.NCCNMhi,NCC-/-NMI,CMIP5,Historical,NORESM1-M,,r1i1p1,1.8947,2.5,,
CMIP5_NCC-NORESM1-M_rcp45,http://dx.doi.org/10.1594/WDCC/CMIP5.NCCNMr4,NCC-/-NMI,CMIP5,RCP45,NORESM1-M,,r1i1p1,1.8947,2.5,,
CMIP5_NCC-NORESM1-M_rcp85,http://dx.doi.org/10.1594/WDCC/CMIP5.NCCNMr8,NCC-/-NMI,CMIP5,RCP85,NORESM1-M,,r1i1p1,1.8947,2.5,,
# CMIP5_CSIRO-Mk3-6-0_historical,,CSIRO-QCCCE,CMIP5,Historical,CSIRO-Mk3.6.0,,r1i1p1,1.8653,1.875,,
# CMIP5_CSIRO-Mk3-6-0_rcp45,,CSIRO-QCCCE,CMIP5,RCP45,CSIRO-Mk3.6.0,,r1i1p1,1.8653,1.875,,
# CMIP5_CSIRO-Mk3-6-0_rcp85,,CSIRO-QCCCE,CMIP5,RCP85,CSIRO-Mk3.6.0,,r1i1p1,1.8653,1.875,,
# CMIP5_MIROC5_historical,,JAMSTEC,CMIP5,Historical,MIROC5,,r1i1p1,1.4008,1.40625,,
# CMIP5_MIROC5_rcp45,,JAMSTEC,CMIP5,RCP45,MIROC5,,r1i1p1,1.4008,1.40625,,
# CMIP5_MIROC5_rcp85,,JAMSTEC,CMIP5,RCP85,MIROC5,,r1i1p1,1.4008,1.40625,,
EUROCORDEX11_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_historical,,ICHEC,EURO-CORDEX,Historical,EC-EARTH,RCA4,r12i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp45,,ICHEC,EURO-CORDEX,RCP45,EC-EARTH,RCA4,r12i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp85,,ICHEC,EURO-CORDEX,RCP85,EC-EARTH,RCA4,r12i1p1,,,v1,EUR-011
EUROCORDEX11_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_historical,,CERFACS-/-CNRM,EURO-CORDEX,Historical,CNRM-CM5,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp45,,CERFACS-/-CNRM,EURO-CORDEX,RCP45,CNRM-CM5,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp85,,CERFACS-/-CNRM,EURO-CORDEX,RCP85,CNRM-CM5,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_historical,,ICHEC,EURO-CORDEX,Historical,EC-EARTH,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_rcp45,,ICHEC,EURO-CORDEX,RCP45,EC-EARTH,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_rcp85,,ICHEC,EURO-CORDEX,RCP85,EC-EARTH,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_historical,,ICHEC,EURO-CORDEX,Historical,EC-EARTH,HIRHAM5,r3i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_rcp45,,ICHEC,EURO-CORDEX,RCP45,EC-EARTH,HIRHAM5,r3i1p1,,,v1,EUR-011
EUROCORDEX11_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_rcp85,,ICHEC,EURO-CORDEX,RCP85,EC-EARTH,HIRHAM5,r3i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_RCA4_v1_historical,,IPSL,EURO-CORDEX,Historical,CM5A-MR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp45,,IPSL,EURO-CORDEX,RCP45,CM5A-MR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp85,,IPSL,EURO-CORDEX,RCP85,CM5A-MR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_historical,,MOHC,EURO-CORDEX,Historical,HADGEM2-ES,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp45,,MOHC,EURO-CORDEX,RCP45,HADGEM2-ES,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp85,,MOHC,EURO-CORDEX,RCP85,HADGEM2-ES,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_historical,,MOHC,EURO-CORDEX,Historical,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_rcp45,,MOHC,EURO-CORDEX,RCP45,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_rcp85,,MOHC,EURO-CORDEX,RCP85,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_historical,,MPI-M,EURO-CORDEX,Historical,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_rcp45,,MPI-M,EURO-CORDEX,RCP45,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_rcp85,,MPI-M,EURO-CORDEX,RCP85,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_RCA4_v1_historical,,MPI-M,EURO-CORDEX,Historical,MPI-ESM-LR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_RCA4_v1_rcp45,,MPI-M,EURO-CORDEX,RCP45,MPI-ESM-LR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-ESM-LR_r1i1p1_RCA4_v1_rcp85,,MPI-M,EURO-CORDEX,RCP85,MPI-ESM-LR,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_historical,,IPSL,EURO-CORDEX,Historical,CM5A-MR,WRF331F,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_rcp45,,IPSL,EURO-CORDEX,RCP45,CM5A-MR,WRF331F,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_rcp85,,IPSL,EURO-CORDEX,RCP85,CM5A-MR,WRF331F,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_historical,,MPI-CSC,EURO-CORDEX,Historical,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp45,,MPI-CSC,EURO-CORDEX,RCP45,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp85,,MPI-CSC,EURO-CORDEX,RCP85,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_historical,,MPI-CSC,EURO-CORDEX,Historical,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp45,,MPI-CSC,EURO-CORDEX,RCP45,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp85,,MPI-CSC,EURO-CORDEX,RCP85,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,EUR-011
EUROCORDEX11_CLMcom-ECMWF-ERAINT_r1i1p1_CCLM4-8-17_v1_evaluation,,CLMcom,EURO-CORDEX,Evaluation,ERA-Interim,CCLM4-8-17,r1i1p1,,,v1,EUR-011
EUROCORDEX11_KNMI-ECMWF-ERAINT_r1i1p1_RACMO22E_v1_evaluation,,KNMI,EURO-CORDEX,Evaluation,ERA-Interim,RACMO22E,r1i1p1,,,v1,EUR-011
EUROCORDEX11_IPSL-INERIS-ECMWF-ERAINT_r1i1p1_WRF331F_v1_evaluation,,IPSL-/-INERIS,EURO-CORDEX,Evaluation,ERA-Interim,WRF331F,r1i1p1,,,v1,EUR-011
EUROCORDEX11_MPI-CSC-ECMWF-ERAINT_r1i1p1_REMO2009_v1_evaluation,,MPI-CSC,EURO-CORDEX,Evaluation,ERA-Interim,REMO2009,r1i1p1,,,v1,EUR-011
EUROCORDEX11_SMHI-ECMWF-ERAINT_r1i1p1_RCA4_v1_evaluation,,SMHI,EURO-CORDEX,Evaluation,ERA-Interim,RCA4,r1i1p1,,,v1,EUR-011
EUROCORDEX44_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_historical,,ICHEC,CORDEX-AFRICA,Historical,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp45,,ICHEC,CORDEX-AFRICA,RCP45,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp85,,ICHEC,CORDEX-AFRICA,RCP85,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
EUROCORDEX44_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_historical,,CERFACS-/-CNRM,CORDEX-AFRICA,Historical,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp45,,CERFACS-/-CNRM,CORDEX-AFRICA,RCP45,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp85,,CERFACS-/-CNRM,CORDEX-AFRICA,RCP85,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_historical,,ICHEC,CORDEX-AFRICA,Historical,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_rcp45,,ICHEC,CORDEX-AFRICA,RCP45,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r1i1p1_RACMO22E_v1_rcp85,,ICHEC,CORDEX-AFRICA,RCP85,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_historical,,ICHEC,CORDEX-AFRICA,Historical,EC-EARTH,HIRHAM5,r3i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_rcp45,,ICHEC,CORDEX-AFRICA,RCP45,EC-EARTH,HIRHAM5,r3i1p1,,,v1,AFR-044
EUROCORDEX44_ICHEC-EC-EARTH_r3i1p1_HIRHAM5_v1_rcp85,,ICHEC,CORDEX-AFRICA,RCP85,EC-EARTH,HIRHAM5,r3i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_RCA4_v1_historical,,IPSL,CORDEX-AFRICA,Historical,CM5A-MR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp45,,IPSL,CORDEX-AFRICA,RCP45,CM5A-MR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_RCA4_v1_rcp85,,IPSL,CORDEX-AFRICA,RCP85,CM5A-MR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_historical,,MOHC,CORDEX-AFRICA,Historical,HADGEM2-ES,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp45,,MOHC,CORDEX-AFRICA,RCP45,HADGEM2-ES,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RCA4_v1_rcp85,,MOHC,CORDEX-AFRICA,RCP85,HADGEM2-ES,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_historical,,MOHC,CORDEX-AFRICA,Historical,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_rcp45,,MOHC,CORDEX-AFRICA,RCP45,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MOHC-HadGEM2-ES_r1i1p1_RACMO22E_v1_rcp85,,MOHC,CORDEX-AFRICA,RCP85,HADGEM2-ES,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_historical,,MPI-M,CORDEX-AFRICA,Historical,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_rcp45,,MPI-M,CORDEX-AFRICA,RCP45,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_CCLM4-8-17_v1_rcp85,,MPI-M,CORDEX-AFRICA,RCP85,MPI-ESM-LR,CCLM4-8-17,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_RCA4_v1_historical,,MPI-M,CORDEX-AFRICA,Historical,MPI-ESM-LR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_RCA4_v1_rcp45,,MPI-M,CORDEX-AFRICA,RCP45,MPI-ESM-LR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-ESM-LR_r1i1p1_RCA4_v1_rcp85,,MPI-M,CORDEX-AFRICA,RCP85,MPI-ESM-LR,RCA4,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_historical,,IPSL,CORDEX-AFRICA,Historical,CM5A-MR,WRF331F,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_rcp45,,IPSL,CORDEX-AFRICA,RCP45,CM5A-MR,WRF331F,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-CM5A-MR_r1i1p1_WRF331F_v1_rcp85,,IPSL,CORDEX-AFRICA,RCP85,CM5A-MR,WRF331F,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_historical,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,Historical,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp45,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,RCP45,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp85,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,RCP85,MPI-ESM-LR,REMO2009,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_historical,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,Historical,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp45,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,RCP45,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp85,,MPI-CSC-/-MPI-M,CORDEX-AFRICA,RCP85,MPI-ESM-LR,REMO2009,r2i1p1,,,v1,AFR-044
EUROCORDEX44_CLMcom-ECMWF-ERAINT_r1i1p1_CCLM4-8-17_v1_evaluation,,CLMcom,CORDEX-AFRICA,Evaluation,ERA-Interim,CCLM4-8-17,r1i1p1,,,v1,AFR-044
EUROCORDEX44_KNMI-ECMWF-ERAINT_r1i1p1_RACMO22E_v1_evaluation,,KNMI,CORDEX-AFRICA,Evaluation,ERA-Interim,RACMO22E,r1i1p1,,,v1,AFR-044
EUROCORDEX44_IPSL-INERIS-ECMWF-ERAINT_r1i1p1_WRF331F_v1_evaluation,,IPSL-/-INERIS,CORDEX-AFRICA,Evaluation,ERA-Interim,WRF331F,r1i1p1,,,v1,AFR-044
EUROCORDEX44_MPI-CSC-ECMWF-ERAINT_r1i1p1_REMO2009_v1_evaluation,,MPI-CSC,CORDEX-AFRICA,Evaluation,ERA-Interim,REMO2009,r1i1p1,,,v1,AFR-044
EUROCORDEX44_SMHI-ECMWF-ERAINT_r1i1p1_RCA4_v1_evaluation,,SMHI,CORDEX-AFRICA,Evaluation,ERA-Interim,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_KNMI-ICHEC-EC-EARTH_r1i1p1_RACMO22T_v1_historical,,KNMI,CORDEX-AFRICA,Historical,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
AFRCORDEX44_KNMI-ICHEC-EC-EARTH_r1i1p1_RACMO22T_v1_rcp45,,KNMI,CORDEX-AFRICA,RCP45,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
AFRCORDEX44_KNMI-ICHEC-EC-EARTH_r1i1p1_RACMO22T_v1_rcp85,,KNMI,CORDEX-AFRICA,RCP85,EC-EARTH,RACMO22E,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CCCma-CanESM2_r1i1p1_RCA4_v1_historical,,SMHI-/-CCCma,CORDEX-AFRICA,Historical,CANESM2,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CCCma-CanESM2_r1i1p1_RCA4_v1_rcp45,,SMHI-/-CCCma,CORDEX-AFRICA,RCP45,CANESM2,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CCCma-CanESM2_r1i1p1_RCA4_v1_rcp85,,SMHI-/-CCCma,CORDEX-AFRICA,RCP85,CANESM2,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CNRM-CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_historical,,SMHI-/-CNRM-/-CERFACS,CORDEX-AFRICA,Historical,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CNRM-CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp45,,SMHI-/-CNRM-/-CERFACS,CORDEX-AFRICA,RCP45,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CNRM-CERFACS-CNRM-CM5_r1i1p1_RCA4_v1_rcp85,,SMHI-/-CNRM-/-CERFACS,CORDEX-AFRICA,RCP85,CNRM-CM5,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_historical,,SMHI-/-QCCCE,CORDEX-AFRICA,Historical,CSIRO-Mk3.6.0,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_rcp45,,SMHI-/-QCCCE,CORDEX-AFRICA,RCP45,CSIRO-Mk3.6.0,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_RCA4_v1_rcp85,,SMHI-/-QCCCE,CORDEX-AFRICA,RCP85,CSIRO-Mk3.6.0,RCA4,r1i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_historical,,SMHI-/-ICHEC,CORDEX-AFRICA,Historical,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp45,,SMHI-/-ICHEC,CORDEX-AFRICA,RCP45,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
AFRCORDEX44_SMHI-ICHEC-EC-EARTH_r12i1p1_RCA4_v1_rcp85,,SMHI-/-ICHEC,CORDEX-AFRICA,RCP85,EC-EARTH,RCA4,r12i1p1,,,v1,AFR-044
